id,name,formula,charge,kegg_id,bigg_id,notes
26dap_LL,"LL-2,6-Diaminoheptanedioate",C7H14N2O4,0,C00666,26dap_LL_c,
26dap__M,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,0,C00680,26dap__M_c,
lys__L,L-lysine,C6H15N2O2,1,C00047,lys__L_c,
tyr__L,L-tyrosine,C9H11NO3,0,C00082,tyr__L_c,
pep,Phosphoenolpyruvate,C3H2O6P,-3,C00074,pep_c,
2dda7p,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H10O10P,-3,C04691,2dda7p_c,
3dhq,3-dehydroquinate,C7H9O6,-1,C00944,3dhq_c,
3dhsk,3-dehydroshikimate,C7H7O5,-1,C02637,3dhsk_c,
skm,shikimate,C7H9O5,-1,C00493,skm_c,
skm5p,shikimate 3-phosphate,C7H8O8P,-3,C03175,skm5p_c,
3psme,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C10H9O10P,-4,C01269,3psme_c,
chor,chorismate,C10H8O6,-2,C00251,chor_c,
pphn,prephenate,C10H8O6,-2,C00254,pphn_c,
34hpp,4-hydroxy phenylpyruvate,C9H7O4,-1,C01179,34hpp_c,
phe__L,L-phenylalanine,C9H11NO2,0,C00079,phe__L_c,
phpyr,phenylpyruvate,C9H7O3,-1,C00166,phpyr_c,
trp__L,L-tryptophan,C11H12N2O2,0,C00078,trp__L_c,
val__L,L-Valine,C5H11NO2,0,C00183,val__L_c,
alac__S,acetolactate,C5H7O4,-1,C06010,alac__S_c,
23dhmb,"R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,-1,C04272,23dhmb_c,
3mob,2-oxoisovalerate,C5H7O3,-1,C00141,3mob_c,
leu__L,L-Leucine,C6H13NO2,0,C00123,leu__L_c,
3c3hmp,alpha-Isopropylmalate,C7H10O5,-2,C02504,3c3hmp_c,
3c2hmp,"(2R,3S)-3-Isopropylmalate",C7H10O5,-2,C04411,3c2hmp_c,
4mop,2-oxoisocaproate,C6H9O3,-1,C00233,4mop_c,
anth,anthranilate,C7H6NO2,-1,C00108,anth_c,
nh3,Ammonia,NH3,0,C00014,nh3_c,
pran,N-(5-Phospho-D-ribosyl)anthranilate,C12H13NO9P,-3,C04302,pran_c,
2cpr5p,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C12H13NO9P,-3,C01302,2cpr5p_c,
3ig3p,Indoleglycerol phosphate,C11H12NO6P,-2,C03506,3ig3p_c,
indole,indole,C8H7N,0,C00463,indole_c,
23dhmb,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,-1,C04272,23dhmb_c,
